Latitude,Longitude
  24.23400,  121.69167
  24.29850,  121.72433
  23.08800,  121.31050
  23.21483,  121.33083
  23.31500,  120.56317
  23.52350,  120.92517
  23.52383,  120.90950
  22.83350,  120.66167
  24.46083,  121.46350
  24.33767,  121.20717
  24.33883,  121.21283
  24.33400,  121.20533
  24.34367,  121.19333
  24.34383,  121.20600
  23.09917,  120.67900
  24.54150,  121.68183
  23.63917,  120.99583
  23.37883,  121.28683
  24.47333,  121.69417
  23.54650,  120.84433
  23.58350,  120.94250
  24.39567,  121.69233
  24.40517,  121.67850
  23.22100,  120.46417
  23.45550,  121.35433
  24.27050,  121.67783
  24.39817,  121.65233
  23.12000,  121.34450
  24.05800,  120.86550
  24.48183,  121.22800
  23.89933,  121.54883
  24.01817,  121.55117
  23.53750,  120.64750
  24.91250,  121.67633
  23.94317,  120.86533
  22.76667,  120.90867
  22.74600,  120.89800
  24.41833,  121.75867
  22.61900,  120.90233
  23.94283,  121.49550
  22.85133,  120.94567
  23.96683,  120.83417
  22.88650,  120.91900
  23.32133,  120.55450
  22.61967,  120.68283
  24.35883,  121.72100
  23.60717,  120.68617
  23.29650,  120.55383
  23.11550,  120.40183
  23.12500,  120.41000
  22.87767,  120.97867
  23.16600,  121.38917
  24.47383,  121.81067
  22.43583,  120.87883
  23.02783,  120.58117
  22.93300,  120.68083
  24.14033,  120.72317
  25.05933,  121.85100
  22.92800,  120.68717
  24.49850,  121.81783
  23.94083,  120.80833
  24.32617,  121.68800
  24.18917,  121.51767
  24.85300,  121.68700
  23.64533,  120.68183
  24.49767,  121.76183
  24.46667,  121.77133
  24.47667,  121.76800
  23.99400,  121.59700
  24.49917,  121.77217
  23.25700,  121.34200
  24.37917,  121.30250
  24.74050,  121.37017
  24.36283,  121.70667
  24.58483,  121.58683
  23.49800,  120.90900
  23.58500,  120.66200
  24.35967,  121.70783
  24.39583,  121.63883
  23.16900,  120.72017
  24.65283,  121.66067
  23.23067,  120.54633
