Latitude,Longitude
  23.70733,  121.60783
  23.28900,  120.87717
  23.90283,  121.42950
  23.28483,  120.87917
  23.05967,  120.93650
  23.19850,  120.51033
  23.97233,  121.62466
  24.51167,  121.91900
  23.48267,  121.70950
  24.37150,  121.64233
  24.35817,  121.32816
  24.67217,  122.03217
  24.42033,  122.06567
  24.42017,  121.91250
  24.83800,  122.27450
  24.36533,  121.72283
  24.11033,  121.81450
  24.78967,  121.93317
  24.33317,  120.78200
  23.37317,  120.88766
  24.02600,  121.60267
  24.81983,  121.98750
  22.63800,  120.64800
  22.64333,  120.68017
  24.29467,  122.24267
  23.21000,  120.53767
  24.37433,  121.47383
  24.31633,  121.72283
  24.61433,  121.74600
  24.01850,  121.59783
  22.82600,  120.94383
  22.84250,  120.93450
  23.54300,  120.68884
  21.93233,  119.51466
  22.80267,  120.78900
  23.27700,  120.53250
  24.76150,  122.21100
  24.42417,  121.38917
  24.77517,  122.26283
  23.02717,  120.65283
  24.39200,  121.99733
  23.21583,  120.44984
  22.40633,  120.90134
  23.54867,  121.62967
  24.49383,  121.67416
  23.99533,  121.58300
  24.12200,  121.42000
  24.31600,  122.37217
  21.93650,  121.13817
  24.62417,  121.79916
  24.20250,  121.56850
  22.37667,  120.54134
  24.53833,  121.89650
  24.01717,  121.59866
  23.28050,  120.89684
  24.10017,  121.43300
  22.99783,  120.53233
  23.54633,  120.93884
  23.29567,  121.74550
  24.35717,  121.73983
  24.46483,  121.86483
  24.55283,  121.89083
  23.04983,  120.91383
  23.31117,  121.63533
  24.36367,  121.31900
  23.90150,  121.83167
  24.07217,  121.64217
  24.68883,  121.79467
  24.50567,  121.81567
  23.20183,  121.34250
  22.56783,  121.37750
  24.38850,  121.89950
  22.90217,  121.28833
  24.48333,  121.76183
  24.48950,  121.76334
  23.82617,  121.75950
  23.15850,  120.51534
  22.25217,  120.87133
  24.41383,  121.89500
  24.38567,  121.64500
  24.55750,  121.68050
  24.26600,  122.13883
